# Weather station Brisbane (airport), Australia, WMO_ID=94578,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94578&lang=en
#
"Local time in Brisbane (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"02.03.2019 03:00";"20.3";"764.5";"765.4";"-0.7";"89";"Wind blowing from the south-southwest";"4";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"30.0";"18.5";"Trace of precipitation";"6";"";"";"";"";
"02.03.2019 01:00";"21.0";"765.2";"766.0";"-0.9";"85";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.3";"";"";"";"";"";"";
"02.03.2019 00:00";"22.2";"765.2";"766.0";"-0.5";"76";"Wind blowing from the south-southeast";"4";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"28.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus covering the whole sky.";"30.0";"17.7";"";"";"";"";"";"";
"01.03.2019 22:00";"22.5";"766.1";"766.9";"1.0";"79";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.7";"";"";"";"";"";"";
"01.03.2019 21:00";"22.3";"765.7";"766.6";"0.8";"84";"Wind blowing from the south-southeast";"4";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"22.0";"19.5";"Trace of precipitation";"6";"";"";"";"";
"01.03.2019 19:00";"24.4";"765.1";"765.9";"0.7";"68";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.0";"";"";"";"";"";"";
"01.03.2019 18:00";"24.4";"764.9";"765.7";"0.5";"67";"Wind blowing from the south-east";"5";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"17.8";"";"";"";"";"";"";
"01.03.2019 16:00";"25.1";"764.4";"765.1";"-0.7";"58";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"01.03.2019 15:00";"26.2";"764.4";"765.2";"-0.9";"56";"Wind blowing from the south-east";"6";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"16.6";"No precipitation";"6";"";"";"";"";
"01.03.2019 13:00";"26.8";"765.1";"765.8";"-0.9";"53";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.4";"";"";"";"";"";"";
"01.03.2019 12:00";"26.3";"765.3";"766.1";"-0.6";"57";"Wind blowing from the east";"6";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.3";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"17.1";"";"";"";"";"";"";
"01.03.2019 10:00";"25.4";"766.0";"766.7";"0.5";"61";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.2";"";"";"";"";"";"";
"01.03.2019 09:00";"25.9";"765.9";"766.7";"1.0";"57";"Wind blowing from the east-southeast";"5";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"16.8";"No precipitation";"24";"";"";"";"";
"01.03.2019 07:00";"21.9";"765.5";"766.3";"1.3";"78";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.9";"";"";"";"";"";"";
"01.03.2019 06:00";"20.6";"764.9";"765.7";"0.6";"84";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"Haze. ";"Drizzle.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"20.0";"17.7";"";"";"";"";"";"";
"01.03.2019 04:00";"23.0";"764.2";"765.0";"-0.6";"66";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"01.03.2019 03:00";"21.7";"764.3";"765.1";"-0.9";"74";"Wind blowing from the south-east";"4";"";"";"60%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"16.8";"No precipitation";"6";"";"";"";"";
"01.03.2019 01:00";"23.4";"764.8";"765.6";"-0.6";"62";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"";"";"";"";"";"";
"01.03.2019 00:00";"23.5";"765.2";"766.0";"-0.2";"63";"Wind blowing from the east-southeast";"4";"";"";"70 – 80%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"27.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"16.1";"";"";"";"";"";"";
"28.02.2019 22:00";"23.7";"765.4";"766.1";"0.3";"64";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.5";"";"";"";"";"";"";
"28.02.2019 21:00";"23.5";"765.4";"766.3";"0.7";"65";"Wind blowing from the east-southeast";"4";"";"";"50%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"16.6";"No precipitation";"6";"";"";"";"";
"28.02.2019 19:00";"23.1";"765.1";"765.8";"0.9";"68";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"";"";"";"";"";"";
"28.02.2019 18:00";"24.2";"764.7";"765.5";"0.5";"57";"Wind blowing from the south-east";"4";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"15.0";"";"";"";"";"";"";
"28.02.2019 16:00";"24.8";"764.2";"764.9";"-0.9";"56";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.3";"";"";"";"";"";"";
"28.02.2019 15:00";"25.3";"764.2";"765.0";"-1.4";"55";"Wind blowing from the east";"6";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"20.0";"15.5";"Trace of precipitation";"6";"";"";"";"";
"28.02.2019 13:00";"25.7";"765.1";"765.8";"-1.1";"54";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.6";"";"";"";"";"";"";
"28.02.2019 12:00";"24.1";"765.6";"766.4";"-0.4";"64";"Wind blowing from the south-southeast";"5";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.1";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"";"";"20.0";"16.8";"";"";"";"";"";"";
"28.02.2019 10:00";"24.2";"766.2";"766.9";"1.1";"68";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"";"";"";"";"";"";
"28.02.2019 09:00";"24.5";"766.0";"766.9";"1.2";"60";"Wind blowing from the east-southeast";"4";"";"";"100%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"300-600";"";"";"25.0";"16.1";"0.2";"24";"";"";"";"";
"28.02.2019 07:00";"21.5";"765.1";"765.8";"0.9";"76";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"";"";"";"";"";"";
"28.02.2019 06:00";"22.5";"764.8";"765.6";"0.6";"69";"Wind blowing from the south-east";"4";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"";"";"30.0";"16.6";"";"";"";"";"";"";
"28.02.2019 04:00";"20.5";"764.2";"765.0";"-0.1";"85";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.9";"";"";"";"";"";"";
"28.02.2019 03:00";"20.6";"764.2";"765.0";"-0.3";"84";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"";"";"30.0";"17.8";"Trace of precipitation";"6";"";"";"";"";
"28.02.2019 01:00";"21.0";"764.3";"765.1";"-0.9";"79";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"";"";"";"";"";"";
"28.02.2019 00:00";"20.8";"764.5";"765.4";"-0.5";"80";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"27.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"17.2";"";"";"";"";"";"";
"27.02.2019 22:00";"21.6";"765.2";"766.0";"0.8";"79";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.7";"";"";"";"";"";"";
"27.02.2019 21:00";"23.4";"765.0";"765.8";"1.1";"63";"Wind blowing from the east-southeast";"4";"";"";"70 – 80%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"15.9";"No precipitation";"6";"";"";"";"";
"27.02.2019 19:00";"23.8";"764.4";"765.1";"1.0";"58";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"27.02.2019 18:00";"24.1";"763.9";"764.7";"0.5";"58";"Wind blowing from the east-southeast";"5";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"15.4";"";"";"";"";"";"";
"27.02.2019 16:00";"23.9";"763.4";"764.2";"-0.7";"67";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.4";"";"";"";"";"";"";
"27.02.2019 15:00";"25.4";"763.4";"764.2";"-0.8";"54";"Wind blowing from the east-southeast";"4";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1500-2000";"";"";"30.0";"15.5";"Trace of precipitation";"6";"";"";"";"";
"27.02.2019 13:00";"25.5";"764.1";"764.8";"-0.7";"54";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"";"";"";"";"";"";
"27.02.2019 12:00";"24.0";"764.2";"765.1";"-0.6";"72";"Wind blowing from the south-east";"6";"";"";"60%.";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"17.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"18.6";"";"";"";"";"";"";
"27.02.2019 10:00";"25.9";"764.8";"765.5";"0.9";"53";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
